baseRank,baseRegressorText,baseRegressorKey,baseTotalOrder,baseMaxMemoryTap,structuralSupportWaveformCount,structuralSupportFraction,oneToOneSupportWaveformCount,oneToOneSupportFraction,exactCount,correlatedClearCount,correlatedBestCount,redundantSupportCount,noMatchCount,supportWaveformList,oneToOneWaveformList
44,x*(n)^3 |x(n)|^4,"X=zeros(1,0);Xconj=[0 0 0];Xenv=[0 0 0 0]",7,0,7,0.875,7,0.875,5,1,0,0,1,WF01;WF02;WF03;WF05;WF06;WF07;WF08,WF01;WF02;WF03;WF05;WF06;WF07;WF08
116,x(n-6)^1 |x(n-4)|^6,"X=6;Xconj=zeros(1,0);Xenv=[4 4 4 4 4 4]",7,6,7,0.875,7,0.875,0,6,0,0,1,WF02;WF03;WF04;WF05;WF06;WF07;WF08,WF02;WF03;WF04;WF05;WF06;WF07;WF08
101,x(n-3)^2 x*(n)^1 |x(n)|^6,"X=[3 3];Xconj=0;Xenv=[0 0 0 0 0 0]",9,3,7,0.875,7,0.875,0,5,1,0,1,WF01;WF03;WF04;WF05;WF06;WF07;WF08,WF01;WF03;WF04;WF05;WF06;WF07;WF08
31,x(n)^1 |x(n+2)|^9,"X=0;Xconj=zeros(1,0);Xenv=[-2 -2 -2 -2 -2 -2 -2 -2 -2]",10,2,7,0.875,7,0.875,4,2,0,0,1,WF01;WF02;WF03;WF04;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF06;WF07;WF08
234,x(n)^5 |x(n)|^6,"X=[0 0 0 0 0];Xconj=zeros(1,0);Xenv=[0 0 0 0 0 0]",11,0,7,0.875,7,0.875,4,2,0,0,1,WF01;WF02;WF03;WF04;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF06;WF07;WF08
105,x(n-2)^1 |x(n-4)|^10,"X=2;Xconj=zeros(1,0);Xenv=[4 4 4 4 4 4 4 4 4 4]",11,4,7,0.875,7,0.875,4,2,0,0,1,WF01;WF02;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF04;WF05;WF06;WF07;WF08
128,x(n-2)^1 |x(n-4)|^11,"X=2;Xconj=zeros(1,0);Xenv=[4 4 4 4 4 4 4 4 4 4 4]",12,4,7,0.875,7,0.875,4,2,0,0,1,WF01;WF02;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF04;WF05;WF06;WF07;WF08
233,x(n)^5 |x(n)|^8,"X=[0 0 0 0 0];Xconj=zeros(1,0);Xenv=[0 0 0 0 0 0 0 0]",13,0,7,0.875,7,0.875,5,1,0,0,1,WF01;WF02;WF03;WF04;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF06;WF07;WF08
198,x(n)^1 |x(n+2)|^12,"X=0;Xconj=zeros(1,0);Xenv=[-2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2 -2]",13,2,7,0.875,7,0.875,6,0,0,0,1,WF01;WF02;WF03;WF04;WF06;WF07;WF08,WF01;WF02;WF03;WF04;WF06;WF07;WF08
109,x(n-2)^1 |x(n-4)|^12,"X=2;Xconj=zeros(1,0);Xenv=[4 4 4 4 4 4 4 4 4 4 4 4]",13,4,7,0.875,7,0.875,4,1,1,0,1,WF01;WF02;WF04;WF05;WF06;WF07;WF08,WF01;WF02;WF04;WF05;WF06;WF07;WF08
